City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Luwuk,ID,-0.9516,122.7875,78.39,81,98,2.51,overcast clouds
205,Lodja,CD,-3.4833,23.4333,71.94,87,85,1.3,overcast clouds
206,Abha,SA,18.2164,42.5053,59.25,82,20,4.61,few clouds
207,Barcelos,PT,41.5388,-8.6151,51.94,89,100,8.75,overcast clouds
208,Trnava,SK,48.3774,17.5872,41.58,62,100,3.76,overcast clouds
209,Petushki,RU,55.9264,39.461,10.29,98,47,3.04,scattered clouds
210,Taraz,KZ,42.9,71.3667,45.01,81,100,11.18,overcast clouds
211,Tumba,SE,59.1986,17.8332,31.05,100,97,0.0,fog
212,Fortuna,US,40.5982,-124.1573,50.67,72,100,14.97,overcast clouds
213,Ponnani,IN,10.767,75.9252,79.92,85,24,2.66,few clouds
214,Burnie,AU,-41.0667,145.9167,48.94,72,73,8.93,broken clouds
215,Luau,AO,-10.7073,22.2247,70.63,87,100,3.0,light rain
216,Voroshnevo,RU,51.6528,36.0172,23.43,60,100,12.57,overcast clouds
217,Mabaruma,GY,8.2,-59.7833,84.87,58,74,6.15,broken clouds
218,Miraflores,MX,19.2167,-98.8083,68.97,44,16,2.51,few clouds
219,Lazaro Cardenas,MX,17.9583,-102.2,81.19,63,2,1.92,clear sky
220,Roma,US,43.2128,-75.4557,45.82,79,100,18.41,overcast clouds
221,Elblag,PL,54.1522,19.4088,34.97,78,100,5.53,overcast clouds
222,Chimoio,MZ,-19.1164,33.4833,72.77,43,80,6.35,broken clouds
223,Biak,ID,-0.9131,122.8766,77.05,81,99,1.66,overcast clouds
224,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,64,20,10.36,few clouds
225,Ola,RU,59.5833,151.2833,26.15,88,76,25.57,light snow
226,Ranong,TH,9.9658,98.6348,77.47,88,68,3.51,broken clouds
227,Grand Gaube,MU,-20.0064,57.6608,77.4,70,31,5.01,scattered clouds
228,Fayaoue,NC,-20.65,166.5333,80.82,78,55,5.06,broken clouds
229,Longyearbyen,SJ,78.2186,15.6401,37.24,65,40,14.97,light shower sleet
230,Harlingen,US,26.1906,-97.6961,71.51,96,100,24.16,overcast clouds
231,College,US,64.8569,-147.8028,-1.41,80,100,3.44,overcast clouds
232,Zhovtneve,UA,50.6637,24.2492,33.64,93,100,8.79,overcast clouds
233,Mount Gambier,AU,-37.8333,140.7667,50.05,97,79,3.18,broken clouds
234,Bagdarin,RU,54.4333,113.6,-15.12,80,98,3.47,overcast clouds
235,Port Hardy,CA,50.6996,-127.4199,22.62,92,97,5.28,light snow
236,Broken Hill,AU,-31.95,141.4333,65.17,41,0,9.33,clear sky
237,Enshi,CN,30.3,109.4833,33.93,94,100,3.42,light snow
238,Mahebourg,MU,-20.4081,57.7,77.29,73,40,6.91,scattered clouds
239,Brae,GB,60.3964,-1.353,48.9,80,100,18.34,overcast clouds
240,Avarua,CK,-21.2078,-159.775,75.25,83,20,8.05,few clouds
241,Baruun-Urt,MN,46.6806,113.2792,-7.17,80,25,12.17,scattered clouds
242,Codrington,AU,-38.2667,141.9667,54.95,93,100,4.07,overcast clouds
243,Saint-Augustin,CA,51.226,-58.6502,15.13,77,18,6.87,few clouds
244,Taoudenni,ML,22.6783,-3.9836,79.2,10,0,11.9,clear sky
245,Wanaka,NZ,-44.7,169.15,44.11,82,56,1.01,broken clouds
246,Lorengau,PG,-2.0226,147.2712,81.45,80,50,6.96,scattered clouds
247,Takoradi,GH,4.8845,-1.7554,83.08,70,75,7.4,light rain
248,Yei,SS,4.095,30.6779,73.94,73,100,2.62,overcast clouds
249,Rognan,NO,67.0953,15.3878,36.05,84,100,5.7,overcast clouds
250,Nosy Varika,MG,-20.5833,48.5333,77.05,80,42,8.88,light rain
251,Villa Rica,US,33.7321,-84.9191,64.09,77,54,12.46,broken clouds
252,Hong Gai,VN,20.956,107.0946,71.51,81,100,8.16,overcast clouds
253,Huarmey,PE,-10.0681,-78.1522,72.61,72,70,10.51,broken clouds
254,Celestun,MX,20.8667,-90.4,81.75,70,99,8.81,overcast clouds
255,Adrar,MR,20.5022,-10.0711,82.42,9,36,9.35,scattered clouds
256,Faanui,PF,-16.4833,-151.75,79.86,75,4,13.67,clear sky
257,Natal,BR,-5.795,-35.2094,84.85,58,20,13.8,few clouds
258,Rafaela,AR,-31.2503,-61.4867,93.99,28,100,7.0,overcast clouds
259,Ilulissat,GL,69.2167,-51.1,24.82,80,75,24.16,light snow
260,Atambua,ID,-9.1061,124.8925,74.25,88,100,1.63,overcast clouds
261,Domoni,KM,-12.2569,44.5319,79.41,76,57,2.73,broken clouds
262,Husavik,IS,66.0449,-17.3389,41.25,91,99,14.83,overcast clouds
263,Rocha,UY,-34.4833,-54.3333,87.96,41,5,10.42,clear sky
264,Champerico,GT,14.3,-91.9167,80.46,70,72,5.82,broken clouds
265,Nizhneangarsk,RU,55.7833,109.55,-7.92,89,100,2.19,overcast clouds
266,Erzincan,TR,39.75,39.5,42.1,87,75,2.3,broken clouds
267,Angoche,MZ,-16.2325,39.9086,76.15,82,86,16.17,overcast clouds
268,Sobolevo,RU,54.4299,31.8996,20.55,89,100,8.12,overcast clouds
269,Weihai,CN,37.5017,122.1136,34.84,53,100,20.8,overcast clouds
