City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Gunjur,GM,89.67,broken clouds,13.2019,-16.7339,Footsteps Eco Lodge
510,Manggar,ID,80.04,overcast clouds,-2.8833,108.2667,No hotel found
511,Voh,NC,77.29,broken clouds,-20.9667,164.7,Le Vook
512,Sinnamary,GF,79.75,scattered clouds,5.3833,-52.95,Hôtel du fleuve
516,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
517,Nicoya,CR,76.91,overcast clouds,10.1483,-85.452,Hotel marianela
518,Thinadhoo,MV,81.59,scattered clouds,0.5333,72.9333,No hotel found
520,San Carlos,VE,86.94,few clouds,9.6612,-68.5827,Hotel Villas del Norte
523,Bitaogan,PH,78.24,overcast clouds,6.7684,126.0774,No hotel found
529,Alta Floresta,BR,89.42,broken clouds,-9.8756,-56.0861,Villas Hotel
533,Raybag,IN,70.27,clear sky,16.4833,74.7833,No hotel found
534,Sabang,ID,82.17,broken clouds,5.8933,95.3214,Sabang Hill
535,Sibolga,ID,76.62,overcast clouds,1.7427,98.7792,Hotel Prima Indah
537,Kinshasa,CD,80.83,light rain,-4.3246,15.3215,Ariana
541,Illapel,CL,74.53,broken clouds,-31.6308,-71.1653,Domingo Ortiz de Rosas
544,Manaure,CO,84.6,clear sky,11.7751,-72.4445,hotel palaima
545,Maragogi,BR,78.85,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
546,Ilhabela,BR,78.19,overcast clouds,-23.7781,-45.3581,Vila Kebaya
548,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
549,Zamora,EC,83.44,scattered clouds,-4.0692,-78.9567,Hotel Gomar
551,Mahibadhoo,MV,81.55,broken clouds,3.7833,72.9667,Coral View Inn
553,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
555,Amahai,ID,77.99,overcast clouds,-3.3333,128.9167,No hotel found
556,Kailua,US,74.44,overcast clouds,21.4022,-157.7394,No hotel found
559,Gambela,ET,81.61,light rain,8.25,34.5833,Grand Hotel
561,Matara,LK,76.46,overcast clouds,5.9485,80.5353,Villa Palm Breeze
562,Carazinho,BR,81.84,scattered clouds,-28.2839,-52.7864,San Remo Hotel
564,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Mabassa
566,Kaduna,NG,89.46,broken clouds,10.5222,7.4383,Assa Pyramid Hotel
567,Salinopolis,BR,85.48,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
568,Padang,ID,75.25,moderate rain,-0.9492,100.3543,losmen Surya
570,Nouakchott,MR,87.73,clear sky,18.0858,-15.9785,فندق أدرار
571,San Miguel,SV,87.46,clear sky,13.4833,-88.1833,Continental Plaza Hotel
572,Vao,NC,77.54,scattered clouds,-22.6667,167.4833,Nataiwatch
575,Chiredzi,ZW,77.74,clear sky,-21.05,31.6667,Nesbitt Arms Hotel
577,Oistins,BB,84.29,few clouds,13.0667,-59.5333,The Abidah By Accra
578,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel El Patio
580,Acari,PE,80.69,few clouds,-15.4311,-74.6158,No hotel found
583,Anloga,GH,83.1,broken clouds,5.7947,0.8973,Hotel de White House
603,Rio Grande,BR,84.31,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
614,Cradock,ZA,82.69,light rain,-32.1642,25.6192,Die Tuishuise and Victoria Manor
615,Makakilo City,US,72.99,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
618,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Hotel California
620,Pitanga,BR,75.34,overcast clouds,-24.7572,-51.7614,No hotel found
624,Cockburn Town,TC,80.69,clear sky,21.4612,-71.1419,The Salt Raker Inn
625,Pemangkat,ID,77.9,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
626,Atar,MR,87.01,clear sky,20.5169,-13.0499,فندق سكليل
628,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Tara-Mé
630,Yaring,TH,79.59,overcast clouds,6.8662,101.3689,No hotel found
631,Bilma,NE,74.32,scattered clouds,18.6853,12.9164,No hotel found
639,Viesca,MX,70.93,clear sky,25.35,-102.8,De los arcos
651,Moerai,PF,75.11,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
657,Ewa Beach,US,74.41,clear sky,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
